Bank Name,City,State,CERT #,Acquiring Institution,Closing Date,Updated Date
St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,15-Jan-10,2-Nov-10
Town Community Bank & Trust,Antioch,IL,34705,First American Bank,15-Jan-10,26-Aug-10
Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,8-Jan-10,4-Nov-10
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,OneWest Bank,18-Dec-09,26-Aug-10
Imperial Capital Bank,La Jolla,CA,26348,City National Bank,18-Dec-09,27-Aug-10
Independent Bankers' Bank,Springfield,IL,26820,The Independent BankersBank (TIB),18-Dec-09,27-Aug-10
New South Federal Savings Bank,Irondale,AL,32276,Beal Bank,18-Dec-09,27-Aug-10
Citizens State Bank,New Baltimore,MI,1006,No Acquirer,18-Dec-09,27-Aug-10
Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,18-Dec-09,27-Aug-10
RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,18-Dec-09,27-Aug-10
SolutionsBank,Overland Park,KS,4731,Arvest Bank,11-Dec-09,27-Aug-10
"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,11-Dec-09,27-Aug-10
"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,11-Dec-09,27-Aug-10
Greater Atlantic Bank,Reston,VA,32583,Sonabank,4-Dec-09,27-Aug-10
Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.",4-Dec-09,27-Aug-10
AmTrust Bank,Cleveland,OH,29776,New York Community Bank,4-Dec-09,27-Aug-10
The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,4-Dec-09,27-Aug-10
First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,4-Dec-09,27-Aug-10
The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,4-Dec-09,9-Dec-10
Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,20-Nov-09,27-Aug-10
Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,13-Nov-09,27-Aug-10
Orion Bank,Naples,FL,22427,IBERIABANK,13-Nov-09,27-Aug-10
"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,13-Nov-09,27-Aug-10
